,哈尔滨冰雪大世界,哈尔滨融创乐园,哈尔滨中央大街,太阳岛风景区,哈尔滨极地公园,哈尔滨极地公园·极地馆,东北虎林园,哈尔滨防洪纪念塔广场,哈尔滨市人民防洪胜利纪念塔,索菲亚广场,哈尔滨音乐公园,圣·索菲亚教堂,中华巴洛克历史文化街区,斯大林公园,哈尔滨市兆麟公园,音乐长廊,江上城堡观光索道,哈尔滨市博物馆,极乐寺,黑龙江省博物馆,中东铁路桥,哈药六版画博物馆,龙塔,体育公园,俄罗斯童话博物馆,哈尔滨市儿童公园,波塞冬海底世界,东北烈士纪念馆,哈尔滨文庙,梅金肖克百年庭院,中东铁路桥头堡,哈尔滨美术馆,哈尔滨工业大学博物馆,龙江大舞台旗舰店,雅致永悦汇养生沐浴,太阳岛风景区-东北抗日联军纪念园,平房公园,哈军工纪念馆,哈尔滨伏尔加庄园,哈尔滨清滨公园投影民宿(哈尔滨工业大学店),哈尔滨群力丁香公园地铁站亚朵酒店,万达广场(哈尔滨哈西店),凯德广场·学府,万达广场(哈尔滨香坊店),万达广场(哈尔滨哈东店),杉杉奥特莱斯广场·哈尔滨,哈特购物广场,杉杉(杉杉奥特莱斯广场·哈尔滨店),金爵万象商业广场,哈尔滨西站万达广场中心桔子水晶酒店,哈尔滨记忆城市文化主题餐厅(金中环广场店),万达影城(哈尔滨香坊万达广场店),哈尔滨西站万达广场美居酒店,波波笑剧场(哈尔滨哈西万达广场店),全季酒店(哈尔滨中央大街哈站北广场店),如家酒店(哈尔滨香坊万达广场龙塔店),希岸Deluxe酒店(哈尔滨哈西高铁站万达广场店),毛毛镇音乐主题乐园,哈尔滨民俗博物馆民宿(松花江店),快乐专+(哈尔滨店),遇见汤泉,哈尔滨枫叶小镇温泉度假酒店,滨果汤泉空间,悦溪棠温泉洗浴,禧沐汤泉,银河欢乐世界温泉洗浴,浴玺湾温泉水汇,云尚汤泉洗浴会馆,亚布力良栖青云民宿,花筑·栖禧民宿(雪谷风景区店),亚布力芳源李·1897民宿,亚布力壹号别院民宿,寒酥庄园酒店(亚布力滑雪旅游度假区),亚布力梵山雪麓民宿,琪瑞酒店(哈尔滨太平国际机场店),亚布力青年雪鼎山庄,亚布力富丽山居民宿,亚布力·沁园春lce and Snow World·轻奢别墅(亚布力南站店),亚布力滑雪温泉森林别墅,野有故里设计师民宿,花筑·西柚度假民宿(哈尔滨冰雪大世界店),亚布力玖间度假别墅(滑雪旅游度假区店),亚布力友所居温泉民宿,墅云居·Travel休闲度假民宿(亚布力滑雪旅游度假区店),亚布力青云小镇清雅轩民宿,雪谷李姐温泉酒店,嘉毅客栈(中国雪谷风景区店),佰源民宿酒店(东北虎林园店),春上汤泉,亚布力滑雪旅游度假区,哈尔滨热雪奇迹,老街滋味坊(直营旗舰店),老街滋味坊(民安小区店),偏脸子哈尔滨老烧烤(自兴街店),老街滋味坊(香坊大街店),隆栎老北京炭火锅(巴陵街),老松滨饭店(菜艺街店),老牌坊云南鱼豆花火锅(大成街店),偏脸子哈尔滨老烧烤(建国北六道街店),一头牛正宗齐齐哈尔烤肉(太古街店),哈尔滨万枫酒店(中央大街火车站店),焕彩时尚宾馆(哈尔滨站中央大街店),惟景假日酒店(哈尔滨中央大街店),哈尔滨中央大街友谊路亚朵酒店,茄子青旅(中央大街店),萤火虫青年旅舍(哈尔滨中央大街索菲亚教堂店),哈尔滨染冬青年旅舍(中央大街步行街索菲亚教堂店),稻香国际青年旅舍(哈尔滨中央大街店),豪滨假日酒店(哈尔滨火车站博物馆地铁站店),滨江快捷宾馆,VIP会所(哈尔滨凯德广场店),鸿顺旅店(哈尔滨医大二院店),有房民宿(哈尔滨理工大学店),哈尔滨天吉招待所,秦泉青年旅馆(哈尔滨南岗店),哈尔滨火车站果戈里大街漫心酒店,哈尔滨天翼快捷宾馆,顺心旅店(哈尔滨海城市场店),哈尔滨合欣旅店,哈尔滨尚志旅社,顺航宾馆(哈尔滨太平国际机场店),哈尔滨香坊金沙时尚快捷宾馆,哈尔滨喜光主题小宾馆,哈尔滨金帝宾馆,自然空间休闲宾馆(哈尔滨巴洛克极乐寺店),君康日租公寓(中华巴洛克风情街店),太阳岛宾馆(太阳大道),北舍民宿(哈尔滨北岸明珠龙湾店),雅舍青旅(哈尔滨松北区融创茂店),哈尔滨太阳岛花园酒店,哈尔滨站,哈尔滨西站,哈尔滨东站,哈尔滨北站,哈尔滨太平国际机场
亚布力梵山雪麓民宿,231.6,247.1,229.9,236.2,232.73,232.99,241.1,229.91,229.93,228.12,236.79,225.93,230.34,229.53,226.94,236.74,229.31,226.39,231.32,223.86,230.86,226.06,225.55,235.15,225.93,224.54,242.19,225.24,228.61,228.14,230.81,227.71,225.18,226.93,225.67,234.86,221.95,227.79,207.58,223.37,226.84,227.39,223.61,220.94,221.13,256.84,223.63,259.55,230.04,227.24,227.16,221.13,229.33,227.29,226.18,221.55,225.99,238.53,226.97,221.23,240.66,248.5,228.61,226.94,239.34,246.01,228.05,225.1,6.11,170.33,6.41,21.6,4.02,0.0,253.88,1.55,2.87,0.63,5.71,6.04,236.58,5.62,5.75,5.71,5.81,170.47,171.21,238.94,221.24,4.56,247.07,228.37,224.63,224.68,219.05,224.94,221.01,226.57,226.22,228.7,226.45,226.22,227.22,229.78,226.09,227.01,227.18,229.18,225.39,223.19,223.79,224.68,225.02,227.25,222.68,225.09,225.81,223.39,226.49,226.44,255.1,218.59,219.03,224.72,228.47,229.48,231.26,234.21,246.66,230.84,225.45,229.7,228.81,240.51,259.0
琪瑞酒店(哈尔滨太平国际机场店),38.2,35.73,34.97,42.8,39.33,39.59,44.15,36.52,36.54,34.36,30.7,34.08,36.41,36.14,35.67,30.65,35.92,34.59,37.58,35.42,35.82,43.57,38.97,29.16,34.07,36.6,57.64,35.06,40.38,34.22,35.77,29.55,34.66,35.98,39.13,41.46,35.51,41.47,59.27,32.4,28.93,29.5,30.95,40.78,48.47,47.65,33.78,48.18,29.25,29.46,30.3,39.14,29.32,29.4,34.04,38.05,30.48,35.66,32.78,48.56,26.82,37.13,33.51,28.83,25.49,34.65,36.6,31.14,258.58,265.42,258.88,243.05,256.51,253.88,0.0,255.83,257.15,254.37,258.92,259.25,41.65,258.83,258.96,258.92,259.02,266.76,267.5,43.74,35.99,258.85,35.16,36.78,31.66,32.1,38.32,38.63,38.98,37.04,32.29,36.71,34.75,33.86,32.43,35.69,32.99,34.02,34.52,34.77,36.3,33.54,31.23,30.9,33.58,36.27,36.59,38.78,37.43,37.08,33.57,34.73,6.1,39.51,38.4,30.64,42.16,36.3,37.17,38.56,34.75,36.76,35.02,27.82,46.78,46.22,5.54
亚布力青年雪鼎山庄,232.86,248.35,231.16,237.46,233.99,234.25,242.36,231.16,231.19,229.37,238.05,227.19,231.6,230.79,228.2,237.99,230.57,227.65,232.58,225.12,232.12,227.32,226.81,236.41,227.18,225.79,243.45,226.5,229.87,229.4,232.07,228.97,226.43,228.19,226.93,236.12,223.2,229.04,208.84,224.63,228.1,228.65,224.86,222.2,222.38,258.1,224.89,260.81,231.3,228.5,228.42,222.39,230.59,228.54,227.44,222.81,227.25,239.79,228.23,222.48,241.92,249.76,229.87,228.2,240.59,247.27,229.31,226.36,7.37,171.58,7.67,22.86,5.28,1.55,255.83,0.0,1.32,1.61,6.96,7.3,237.83,6.89,7.0,6.96,7.07,171.73,172.47,240.19,222.5,3.02,248.32,229.62,225.89,225.93,220.3,226.19,222.26,227.82,227.48,229.96,227.71,227.47,228.48,231.03,227.34,228.26,228.43,230.44,226.64,224.45,225.05,225.94,226.28,228.51,223.94,226.35,227.07,224.65,227.74,227.69,256.35,219.84,220.29,225.97,229.72,230.74,232.51,235.47,247.92,232.09,226.71,230.96,230.07,241.77,260.26
亚布力富丽山居民宿,234.18,249.67,232.47,238.78,235.31,235.57,243.68,232.48,232.5,230.69,239.37,228.5,232.92,232.1,229.52,239.31,231.89,228.97,233.9,226.43,233.44,228.64,228.13,237.72,228.5,227.11,244.77,227.81,231.18,230.72,233.39,230.28,227.75,229.51,228.24,237.44,224.52,230.36,210.15,225.95,229.41,229.97,226.18,223.52,223.7,259.42,226.21,262.12,232.62,229.81,229.73,223.7,231.91,229.86,228.76,224.12,228.57,241.11,229.54,223.8,243.24,251.07,231.19,229.52,241.91,248.59,230.62,227.68,8.69,172.9,8.98,24.17,6.6,2.87,257.15,1.32,0.0,2.93,8.28,8.62,239.15,6.25,8.32,8.28,8.38,173.04,173.78,241.51,223.81,2.38,249.64,230.94,227.21,227.25,221.62,227.51,223.58,229.14,228.8,231.28,229.03,228.79,229.79,232.35,228.66,229.58,229.75,231.75,227.96,225.77,226.36,227.26,227.6,229.82,225.26,227.67,228.39,225.96,229.06,229.01,257.67,221.16,221.6,227.29,231.04,232.05,233.83,236.79,249.24,233.41,228.02,232.28,231.38,243.08,261.57
亚布力·沁园春lce and Snow World·轻奢别墅(亚布力南站店),231.4,246.9,229.7,236.0,232.53,232.79,240.9,229.7,229.73,227.91,236.59,225.72,230.14,229.33,226.74,236.53,229.11,226.19,231.12,223.66,230.66,225.86,225.35,234.94,225.72,224.33,241.99,225.04,228.41,227.94,230.61,227.51,224.97,226.73,225.47,234.66,221.74,227.59,207.38,223.17,226.64,227.19,223.4,220.74,220.93,256.64,223.43,259.35,229.84,227.04,226.96,220.93,229.13,227.08,225.98,221.34,225.79,238.33,226.77,221.02,240.46,248.3,228.41,226.74,239.13,245.81,227.84,224.9,5.91,170.12,6.21,21.39,3.82,0.63,254.37,1.61,2.93,0.0,5.53,5.86,236.37,5.44,5.56,5.52,5.63,170.26,171.0,238.72,221.03,5.25,246.86,228.15,224.42,224.46,218.83,224.72,220.79,226.36,226.01,228.49,226.24,226.0,227.01,229.56,225.88,226.8,226.96,228.97,225.18,222.98,223.58,224.47,224.81,227.04,222.47,224.88,225.6,223.18,226.27,226.22,254.88,218.38,218.82,224.51,228.25,229.27,231.04,234.0,246.45,230.62,225.24,229.49,228.6,240.3,258.79
亚布力滑雪温泉森林别墅,235.95,251.44,234.24,240.55,237.08,237.34,245.45,234.25,234.27,232.46,241.13,230.27,234.69,233.87,231.29,241.08,233.66,230.74,235.66,228.2,235.21,230.41,229.9,239.49,230.27,228.88,246.54,229.58,232.95,232.48,235.16,232.05,229.52,231.28,230.01,239.21,226.29,232.13,211.92,227.72,231.18,231.74,227.95,225.29,225.47,261.19,227.97,263.89,234.38,231.58,231.5,225.47,233.68,231.63,230.53,225.89,230.34,242.88,231.31,225.57,245.01,252.84,232.95,231.29,243.68,250.36,232.39,229.45,0.39,174.67,0.69,25.94,8.37,5.71,258.92,6.96,8.28,5.53,0.0,0.33,240.89,0.7,0.24,0.0,0.1,174.78,175.52,243.25,225.55,6.49,251.38,232.68,228.94,228.99,223.36,229.25,225.32,230.88,230.53,233.02,230.77,230.53,231.53,234.09,230.4,231.32,231.49,233.49,229.7,227.5,228.1,229.0,229.34,231.56,227.0,229.41,230.13,227.7,230.8,230.75,259.41,222.9,223.34,229.03,232.78,233.79,235.57,238.53,250.98,235.15,229.76,234.02,233.12,244.82,263.31
野有故里设计师民宿,236.28,251.77,234.58,240.88,237.41,237.67,245.78,234.58,234.61,232.79,241.47,230.6,235.02,234.21,231.62,241.41,233.99,231.07,236.0,228.53,235.54,230.74,230.23,239.82,230.6,229.21,246.87,229.91,233.29,232.82,235.49,232.39,229.85,231.61,230.34,239.54,226.62,232.46,212.25,228.05,231.51,232.07,228.28,225.62,225.8,261.52,228.31,264.23,234.72,231.91,231.84,225.81,234.01,231.96,230.86,226.22,230.67,243.21,231.65,225.9,245.34,253.18,233.29,231.62,244.01,250.69,232.72,229.78,0.16,175.0,0.46,26.27,8.7,6.04,259.25,7.3,8.62,5.86,0.33,0.0,241.22,0.84,0.73,0.34,0.23,175.12,175.86,243.58,225.88,6.62,251.71,233.01,229.28,229.32,223.69,229.58,225.65,231.21,230.87,233.35,231.1,230.86,231.87,234.42,230.73,231.65,231.82,233.82,230.03,227.84,228.44,229.33,229.67,231.9,227.33,229.74,230.46,228.04,231.13,231.08,259.74,223.23,223.68,229.36,233.11,234.13,235.9,238.86,251.31,235.48,230.1,234.35,233.46,245.16,263.65
花筑·西柚度假民宿(哈尔滨冰雪大世界店),9.4,8.41,12.89,12.44,8.97,9.23,3.37,12.88,12.91,13.45,14.82,13.68,14.35,12.61,14.07,14.77,12.29,13.66,15.0,15.36,13.86,20.12,18.27,17.09,13.68,17.02,18.88,15.49,15.44,12.87,13.81,15.61,14.59,14.63,18.43,11.1,33.75,15.64,42.56,14.65,14.42,18.29,15.34,19.24,27.22,10.64,16.44,11.17,18.03,17.78,14.59,21.81,19.47,18.18,13.94,20.72,25.11,46.09,12.22,27.32,18.05,10.23,11.36,17.15,17.75,9.44,43.98,13.75,241.28,256.15,241.58,225.76,239.22,236.58,41.65,237.83,239.15,236.37,240.89,241.22,0.0,246.58,246.71,246.66,246.77,262.18,262.91,3.0,19.51,246.6,10.34,14.07,15.18,17.23,21.84,15.7,22.51,14.35,12.21,12.01,15.54,14.65,12.94,14.07,14.23,14.52,14.26,14.0,15.99,22.09,16.34,19.56,18.71,13.8,17.48,15.69,14.8,17.15,13.48,17.03,43.68,23.03,21.92,14.38,11.76,12.79,12.29,5.54,8.63,9.81,14.9,18.92,17.49,9.17,47.58
亚布力玖间度假别墅(滑雪旅游度假区店),235.86,251.35,234.16,240.46,236.99,237.25,245.36,234.16,234.18,232.37,241.05,230.18,234.6,233.78,231.2,240.99,233.57,230.65,235.57,228.11,235.12,230.32,229.81,239.4,230.18,228.79,246.45,229.49,232.86,232.4,235.07,231.97,229.43,231.19,229.92,239.12,226.2,232.04,211.83,227.63,231.09,231.65,227.86,225.2,225.38,261.1,227.88,263.8,234.29,231.49,231.41,225.38,233.59,231.54,230.44,225.8,230.25,242.79,231.22,225.48,244.92,252.75,232.87,231.2,243.59,250.27,232.3,229.36,1.0,174.58,1.4,25.85,8.28,5.62,258.83,6.89,6.25,5.44,0.7,0.84,246.58,0.0,0.69,0.7,0.81,174.69,175.43,243.16,225.46,5.78,251.29,232.59,228.85,228.9,223.27,229.16,225.23,230.79,230.45,232.93,230.68,230.44,231.44,234.0,230.31,231.23,231.4,233.4,229.61,227.42,228.01,228.91,229.25,231.47,226.91,229.32,230.04,227.61,230.71,230.66,259.32,222.81,223.25,228.94,232.69,233.7,235.48,238.44,250.89,235.06,229.67,233.93,233.03,244.73,263.22
亚布力友所居温泉民宿,235.99,251.48,234.28,240.58,237.11,237.37,245.49,234.29,234.31,232.5,241.17,230.31,234.72,233.91,231.32,241.12,233.69,230.77,235.7,228.24,235.24,230.44,229.93,239.53,230.31,228.92,246.57,229.62,232.99,232.52,235.19,232.09,229.56,231.31,230.05,239.24,226.33,232.17,211.96,227.75,231.22,231.77,227.99,225.32,225.51,261.22,228.01,263.93,234.42,231.62,231.54,225.51,233.71,231.67,230.56,225.93,230.37,242.91,231.35,225.61,245.04,252.88,232.99,231.32,243.72,250.39,232.43,229.49,0.62,174.71,0.76,25.98,8.4,5.75,258.96,7.0,8.32,5.56,0.24,0.73,246.71,0.69,0.0,0.24,0.17,174.82,175.56,243.28,225.59,6.47,251.42,232.72,228.98,229.03,223.4,229.29,225.35,230.92,230.57,233.05,230.8,230.56,231.57,234.12,230.44,231.36,231.52,233.53,229.74,227.54,228.14,229.03,229.37,231.6,227.03,229.44,230.16,227.74,230.83,230.78,259.45,222.94,223.38,229.07,232.81,233.83,235.61,238.56,251.01,235.19,229.8,234.05,233.16,244.86,263.35
墅云居·Travel休闲度假民宿(亚布力滑雪旅游度假区店),235.94,251.44,234.24,240.54,237.07,237.33,245.44,234.25,234.27,232.46,241.13,230.27,234.69,233.87,231.28,241.07,233.65,230.73,235.66,228.2,235.2,230.4,229.89,239.49,230.26,228.88,246.53,229.58,232.95,232.48,235.16,232.05,229.51,231.27,230.01,239.2,226.29,232.13,211.92,227.71,231.18,231.73,227.95,225.28,225.47,261.18,227.97,263.89,234.38,231.58,231.5,225.47,233.67,231.63,230.52,225.89,230.33,242.87,231.31,225.57,245.0,252.84,232.95,231.28,243.68,250.35,232.39,229.44,0.4,174.67,0.69,25.94,8.36,5.71,258.92,6.96,8.28,5.52,0.0,0.34,246.66,0.7,0.24,0.0,0.11,174.78,175.52,243.25,225.55,6.49,251.38,232.68,228.94,228.99,223.35,229.25,225.31,230.88,230.53,233.01,230.76,230.52,231.53,234.08,230.4,231.32,231.48,233.49,229.7,227.5,228.1,228.99,229.33,231.56,226.99,229.4,230.12,227.7,230.79,230.74,259.41,222.9,223.34,229.03,232.78,233.79,235.57,238.52,250.97,235.15,229.76,234.01,233.12,244.82,263.31
亚布力青云小镇清雅轩民宿,236.05,251.54,234.35,240.65,237.18,237.44,245.55,234.35,234.38,232.56,241.24,230.37,234.79,233.97,231.39,241.18,233.76,230.84,235.77,228.3,235.31,230.51,230.0,239.59,230.37,228.98,246.64,229.68,233.06,232.59,235.26,232.16,229.62,231.38,230.11,239.31,226.39,232.23,212.02,227.82,231.28,231.84,228.05,225.39,225.57,261.29,228.08,264.0,234.49,231.68,231.6,225.57,233.78,231.73,230.63,225.99,230.44,242.98,231.41,225.67,245.11,252.94,233.06,231.39,243.78,250.46,232.49,229.55,0.29,174.77,0.59,26.04,8.47,5.81,259.02,7.07,8.38,5.63,0.1,0.23,246.77,0.81,0.17,0.11,0.0,174.89,175.62,243.35,225.65,6.59,251.48,232.78,229.05,229.09,223.46,229.35,225.42,230.98,230.64,233.12,230.87,230.63,231.63,234.19,230.5,231.42,231.59,233.59,229.8,227.61,228.21,229.1,229.44,231.66,227.1,229.51,230.23,227.81,230.9,230.85,259.51,223.0,223.45,229.13,232.88,233.9,235.67,238.63,251.08,235.25,229.87,234.12,233.23,244.92,263.42
雪谷李姐温泉酒店,251.46,259.28,249.75,256.05,252.58,252.84,260.95,249.76,249.78,244.18,250.14,245.78,246.4,249.38,246.79,250.09,249.16,246.24,251.17,243.71,250.71,245.91,245.4,248.5,245.78,242.65,262.04,245.09,244.67,244.2,250.66,248.89,241.78,246.88,245.52,254.71,234.13,247.64,245.59,243.22,254.96,240.45,240.06,240.79,241.03,271.2,240.38,271.73,240.19,240.29,249.64,240.98,242.68,240.34,246.03,241.4,239.05,231.41,243.03,241.13,252.84,260.68,243.75,240.25,251.52,258.19,223.57,257.17,175.18,0.39,175.47,155.25,173.11,170.47,266.76,171.73,173.04,170.26,174.78,175.12,262.18,174.69,174.82,174.78,174.89,0.0,0.73,258.85,241.16,174.94,258.96,248.28,244.55,239.34,238.96,244.85,240.92,246.49,246.14,248.62,246.37,246.13,247.14,249.69,246.0,246.93,247.09,249.1,245.3,235.24,239.45,236.73,239.29,247.17,242.6,245.01,245.73,243.31,246.4,246.35,266.99,238.5,238.95,244.63,248.38,249.4,251.17,254.13,258.56,250.75,245.37,242.12,248.73,270.03,270.89
嘉毅客栈(中国雪谷风景区店),252.19,260.02,250.49,256.79,253.32,253.58,261.69,250.5,250.52,244.91,250.88,246.52,247.14,250.12,247.53,250.82,249.9,246.98,251.91,244.45,251.45,246.65,246.14,249.24,246.51,243.39,262.78,245.83,245.41,244.94,251.4,249.63,242.52,247.61,246.26,255.45,234.87,248.38,246.32,243.96,255.7,241.19,240.8,241.53,241.77,271.94,241.11,272.47,240.93,241.03,250.38,241.72,243.42,241.08,246.77,242.14,239.79,232.15,243.77,241.87,253.58,261.42,244.49,240.99,252.26,258.93,224.31,257.91,175.91,0.88,176.21,155.99,173.85,171.21,267.5,172.47,173.78,171.0,175.52,175.86,262.91,175.43,175.56,175.52,175.62,0.73,0.0,259.38,241.69,175.48,259.49,248.81,245.08,239.88,239.5,245.39,241.45,247.02,246.67,249.15,246.9,246.66,247.67,250.22,246.54,247.46,247.62,249.63,245.84,235.77,239.98,237.26,239.82,247.7,243.13,245.54,246.26,243.84,246.93,246.88,267.52,239.04,239.48,245.17,248.91,249.93,251.71,254.66,259.09,251.29,245.9,242.65,249.26,270.56,271.42
佰源民宿酒店(东北虎林园店),11.15,10.5,14.64,14.19,10.72,10.98,4.88,14.63,14.66,12.68,16.57,12.78,10.91,14.36,12.26,16.52,14.04,12.33,11.56,14.14,12.5,16.55,14.82,19.17,12.78,13.58,11.49,12.05,11.99,14.62,12.45,17.36,14.78,11.19,14.98,12.85,41.22,12.2,38.99,16.4,16.17,20.04,17.09,15.8,23.64,12.73,18.19,13.26,19.78,19.53,16.34,23.57,21.22,19.93,13.51,15.74,20.4,48.18,13.97,23.74,20.14,12.32,13.11,18.9,21.11,12.07,47.05,15.5,243.64,258.51,243.94,228.12,241.57,238.94,43.74,240.19,241.51,238.72,243.25,243.58,3.0,243.16,243.28,243.25,243.35,258.85,259.38,0.0,17.61,243.02,10.4,11.22,17.04,19.09,16.81,12.86,15.45,11.5,14.08,9.16,12.58,12.86,14.81,13.44,16.1,11.67,11.41,12.04,13.14,23.82,18.2,21.27,19.02,10.96,14.64,12.85,11.96,14.3,13.07,12.55,45.54,21.36,19.7,16.24,8.91,9.94,14.16,6.75,10.84,11.68,12.05,20.79,12.08,11.33,49.45
春上汤泉,13.75,20.51,8.05,18.35,14.88,15.14,21.21,12.05,12.08,6.68,12.3,6.72,8.13,11.68,7.74,12.24,11.46,7.19,7.5,4.65,8.52,8.54,3.79,11.52,6.72,5.33,27.43,6.03,8.49,7.19,8.47,9.86,4.89,7.73,3.6,17.01,17.46,7.25,27.06,4.14,8.99,9.02,5.75,3.24,9.91,23.7,3.21,24.23,8.76,8.87,9.31,2.49,9.38,8.91,6.98,3.36,8.28,27.94,6.02,10.01,11.73,23.26,6.75,9.09,12.85,20.76,23.81,6.76,225.94,240.81,226.24,210.42,223.88,221.24,35.99,222.5,223.81,221.03,225.55,225.88,19.51,225.46,225.59,225.55,225.65,241.16,241.69,17.61,0.0,225.24,20.03,6.0,4.9,6.51,3.04,3.46,2.44,4.78,8.09,7.55,5.44,6.08,7.15,8.97,5.95,6.08,7.1,7.37,3.73,9.1,5.62,7.32,6.75,6.6,1.81,3.71,3.83,2.44,6.35,5.42,37.0,3.94,3.12,6.59,6.67,7.33,13.12,16.08,20.34,12.71,5.37,11.38,11.51,22.38,40.91
亚布力滑雪旅游度假区,235.88,251.37,234.17,240.47,237.01,237.26,245.38,234.18,234.2,232.39,241.06,230.2,234.62,233.8,231.22,241.01,233.59,230.67,235.59,228.13,235.13,230.33,229.82,239.42,230.2,228.81,246.47,229.51,232.88,232.41,235.09,231.98,229.45,231.21,229.94,239.13,226.22,232.06,211.85,227.65,231.11,231.67,227.88,225.22,225.4,261.12,227.9,263.82,234.31,231.51,231.43,225.4,233.61,231.56,230.45,225.82,230.27,242.81,231.24,225.5,244.94,252.77,232.88,231.22,243.61,250.29,232.32,229.38,6.79,174.6,7.18,25.87,8.29,4.56,258.85,3.02,2.38,5.25,6.49,6.62,246.6,5.78,6.47,6.49,6.59,174.94,175.48,243.02,225.24,0.0,251.38,232.68,228.94,228.99,223.36,229.25,225.32,230.88,230.54,233.02,230.77,230.53,231.53,234.09,230.4,231.32,231.49,233.49,229.7,227.51,228.1,229.0,229.34,231.56,227.0,229.41,230.13,227.7,230.8,230.75,259.41,222.9,223.34,229.03,232.78,233.79,235.57,238.53,250.98,235.15,229.76,234.02,233.12,244.82,263.31
哈尔滨热雪奇迹,10.99,0.69,14.48,14.03,10.56,10.82,12.03,14.47,14.49,15.04,15.12,15.27,17.09,14.2,15.66,15.06,13.88,15.25,23.66,16.95,15.44,28.78,23.22,12.87,15.27,17.81,21.34,16.27,24.1,14.46,15.4,13.26,16.18,16.23,23.39,12.69,34.21,24.3,49.69,16.24,15.4,22.25,16.93,25.03,38.88,11.36,18.03,11.89,21.99,22.36,14.01,23.4,21.28,22.14,15.53,22.31,20.9,41.88,13.8,38.98,13.84,4.49,12.95,19.34,13.54,1.07,39.77,15.34,251.77,258.62,252.07,236.25,249.71,247.07,35.16,248.32,249.64,246.86,251.38,251.71,10.34,251.29,251.42,251.38,251.48,258.96,259.49,10.4,20.03,251.38,0.0,18.37,15.97,18.02,22.64,20.29,23.31,18.7,13.01,21.29,16.33,15.45,13.74,14.87,15.03,15.6,16.1,14.8,17.96,26.37,17.14,23.72,19.51,17.86,20.44,20.45,21.17,18.75,14.28,17.82,36.75,23.83,22.72,15.18,21.03,22.06,13.09,5.42,0.92,10.61,16.61,16.81,25.34,10.6,40.66
老街滋味坊(直营旗舰店),11.81,18.57,5.36,16.41,12.94,13.2,14.27,6.05,6.08,3.69,11.11,3.4,2.88,6.3,4.5,11.05,5.98,4.02,1.85,2.56,5.1,4.51,4.36,12.26,3.39,2.94,18.11,1.71,2.29,4.43,5.06,10.6,3.2,2.85,4.52,15.07,23.84,3.38,29.71,5.33,9.78,11.67,7.08,5.34,14.18,20.45,4.83,20.97,11.41,11.15,10.05,6.33,14.2,11.56,4.39,5.76,12.24,34.31,6.18,14.27,12.53,23.38,5.45,10.59,13.64,18.81,27.61,6.08,233.07,247.94,233.37,217.54,231.0,228.37,36.78,229.62,230.94,228.15,232.68,233.01,14.07,232.59,232.72,232.68,232.78,248.28,248.81,11.22,6.0,232.68,18.37,0.0,6.82,10.37,8.02,3.41,6.0,1.35,10.11,2.94,4.91,4.92,10.21,6.87,9.02,3.73,3.47,5.27,3.69,14.37,9.94,11.82,9.57,2.03,5.19,3.4,2.23,4.85,5.13,4.89,41.28,7.88,10.25,11.32,3.25,2.74,17.41,19.01,24.09,16.99,4.11,15.67,5.18,23.04,45.19
老街滋味坊(民安小区店),9.42,16.18,4.86,14.02,10.55,10.8,16.87,5.88,5.91,3.73,6.99,3.97,5.33,5.5,4.99,6.93,5.29,4.51,6.9,4.25,5.85,14.29,9.69,7.06,3.96,5.5,21.65,4.71,7.35,3.58,5.8,5.4,3.48,5.06,9.85,12.68,20.39,8.43,30.46,0.98,4.66,6.84,3.43,11.5,15.65,19.36,1.93,19.89,6.58,6.32,4.85,9.86,8.45,6.73,2.44,7.18,7.2,36.19,2.25,15.75,7.41,18.93,2.98,5.69,8.53,16.42,28.06,1.04,229.34,244.2,229.63,213.81,227.27,224.63,31.66,225.89,227.21,224.42,228.94,229.28,15.18,228.85,228.98,228.94,229.05,244.55,245.08,17.04,4.9,228.94,15.97,6.82,0.0,4.88,7.75,6.96,7.54,5.58,1.52,5.55,3.64,2.15,1.66,5.01,2.19,3.22,3.71,3.99,4.63,12.77,3.99,7.21,7.97,4.81,4.92,7.12,5.97,5.41,2.78,4.49,33.09,8.65,7.83,2.7,10.49,5.14,6.91,9.86,14.12,6.49,3.57,7.47,13.6,16.16,36.99
偏脸子哈尔滨老烧烤(自兴街店),11.47,18.22,9.76,16.06,12.59,12.85,18.92,9.77,9.79,7.75,8.54,7.71,9.12,9.39,8.73,8.48,9.17,8.18,8.7,5.85,10.72,11.48,9.28,8.11,7.71,7.11,26.71,7.02,10.69,7.61,10.68,6.45,5.09,8.72,9.44,14.72,17.57,11.78,30.5,3.28,4.17,3.75,1.29,10.25,15.7,21.41,3.54,21.94,3.48,3.23,5.9,10.53,4.36,3.64,6.27,8.45,4.1,28.05,6.49,15.8,6.98,20.98,8.47,2.6,8.96,18.47,21.35,5.71,229.38,239.0,229.68,213.85,227.31,224.68,32.1,225.93,227.25,224.46,228.99,229.32,17.23,228.9,229.03,228.99,229.09,239.34,239.88,19.09,6.51,228.99,18.02,10.37,4.88,0.0,8.33,7.03,9.0,6.81,5.38,8.9,5.91,5.83,5.56,8.79,6.08,6.46,6.96,7.86,6.07,6.44,0.59,3.92,3.08,7.04,6.12,8.53,7.75,6.83,6.66,5.89,32.17,9.52,8.41,3.73,11.9,12.92,10.27,13.22,17.48,9.85,6.72,5.95,16.79,19.52,36.07
